sim_index,route_name,route_type,phase,leg_index,minute_from_start,leg_minute,from_wpt,to_wpt,from_name,to_name,lat_deg,lon_deg,cog_deg,sog_knots,distance_from_start_nm,distance_to_go_nm
0,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,0,0,0,1,2,Suez38,Hm105W,31.32156666666666,32.373016666666665,357.3810322039933,12.0,0.0,603.9763121194644
1,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,0,1,1,1,2,Suez38,Hm105W,31.324730556111913,32.372847250698356,357.3810322039933,12.0,0.19015999791973115,603.7861521215447
2,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,0,2,2,1,2,Suez38,Hm105W,31.327894445334675,32.3726778233425,357.3810322039933,12.0,0.3803199958394623,603.5959921236249
3,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,0,3,3,1,2,Suez38,Hm105W,31.331058334334905,32.37250838459692,357.3810322039933,12.0,0.5704799937591934,603.4058321257052
4,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,0,4,4,1,2,Suez38,Hm105W,31.334222223112565,32.37233893445943,357.3810322039933,12.0,0.7606399916789246,603.2156721277855
5,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,0,5,5,1,2,Suez38,Hm105W,31.337386111667612,32.37216947292785,357.3810322039933,12.0,0.9507999895986557,603.0255121298658
6,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,1,6,0,2,3,Hm105W,NAZ2,31.340550000000007,32.372,353.2013092075329,12.0,1.140959987518387,602.835352131946
7,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,1,7,1,2,3,Hm105W,NAZ2,31.343828278757076,32.37154238032444,353.2013092075329,12.0,1.3391832552282148,602.6371288642362
8,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,1,8,2,2,3,Hm105W,NAZ2,31.34710655589027,32.37108472875324,353.2013092075329,12.0,1.537406522938043,602.4389055965264
9,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,1,9,3,2,3,Hm105W,NAZ2,31.350384831399264,32.37062704528007,353.2013092075329,12.0,1.7356297906478708,602.2406823288165
10,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,1,10,4,2,3,Hm105W,NAZ2,31.353663105283733,32.37016932989862,353.2013092075329,12.0,1.9338530583576987,602.0424590611067
11,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,1,11,5,2,3,Hm105W,NAZ2,31.356941377543354,32.369711582602584,353.2013092075329,12.0,2.1320763260675264,601.8442357933969
12,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,1,12,6,2,3,Hm105W,NAZ2,31.360219648177818,32.36925380338561,353.2013092075329,12.0,2.3302995937773545,601.6460125256871
13,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,1,13,7,2,3,Hm105W,NAZ2,31.363497917186784,32.36879599224141,353.2013092075329,12.0,2.5285228614871826,601.4477892579772
14,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,1,14,8,2,3,Hm105W,NAZ2,31.366776184569936,32.36833814916364,353.2013092075329,12.0,2.7267461291970108,601.2495659902675
15,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,1,15,9,2,3,Hm105W,NAZ2,31.370054450326943,32.36788027414599,353.2013092075329,12.0,2.9249693969068384,601.0513427225576
16,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,1,16,10,2,3,Hm105W,NAZ2,31.37333271445751,32.36742236718212,353.2013092075329,12.0,3.123192664616666,600.8531194548477
17,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,1,17,11,2,3,Hm105W,NAZ2,31.376610976961288,32.36696442826573,353.2013092075329,12.0,3.3214159323264942,600.6548961871379
18,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,1,18,12,2,3,Hm105W,NAZ2,31.37988923783795,32.366506457390464,353.2013092075329,12.0,3.5196392000363224,600.4566729194281
19,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,1,19,13,2,3,Hm105W,NAZ2,31.383167497087197,32.36604845455001,353.2013092075329,12.0,3.7178624677461505,600.2584496517183
20,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,1,20,14,2,3,Hm105W,NAZ2,31.38644575470869,32.365590419738034,353.2013092075329,12.0,3.9160857354559786,600.0602263840084
21,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,1,21,15,2,3,Hm105W,NAZ2,31.38972401070211,32.3651323529482,353.2013092075329,12.0,4.114309003165806,599.8620031162986
22,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,1,22,16,2,3,Hm105W,NAZ2,31.39300226506713,32.36467425417418,353.2013092075329,12.0,4.312532270875634,599.6637798485888
23,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,1,23,17,2,3,Hm105W,NAZ2,31.396280517803433,32.36421612340965,353.2013092075329,12.0,4.510755538585462,599.4655565808789
24,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,1,24,18,2,3,Hm105W,NAZ2,31.39955876891069,32.36375796064826,353.2013092075329,12.0,4.70897880629529,599.2673333131692
25,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,1,25,19,2,3,Hm105W,NAZ2,31.402837018388585,32.363299765883674,353.2013092075329,12.0,4.907202074005118,599.0691100454593
26,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,1,26,20,2,3,Hm105W,NAZ2,31.40611526623678,32.36284153910956,353.2013092075329,12.0,5.1054253417149456,598.8708867777494
27,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,1,27,21,2,3,Hm105W,NAZ2,31.409393512454976,32.362383280319584,353.2013092075329,12.0,5.303648609424774,598.6726635100397
28,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,1,28,22,2,3,Hm105W,NAZ2,31.412671757042816,32.36192498950739,353.2013092075329,12.0,5.501871877134602,598.4744402423298
29,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,2,29,0,3,4,NAZ2,NAZ1,31.415950000000002,32.361466666666665,298.4466623426567,12.0,5.70009514484443,598.27621697462
30,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,2,30,1,3,4,NAZ2,NAZ1,31.417542057214767,32.35802298211787,298.4466623426567,12.0,5.9007722184402205,598.0755399010242
31,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,2,31,2,3,4,NAZ2,NAZ1,31.41913402235267,32.35457918067313,298.4466623426567,12.0,6.10144929203601,597.8748628274284
32,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,2,32,3,3,4,NAZ2,NAZ1,31.42072589540482,32.35113526232791,298.4466623426567,12.0,6.302126365631801,597.6741857538326
33,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,2,33,4,3,4,NAZ2,NAZ1,31.422317676362358,32.34769122707769,298.4466623426567,12.0,6.502803439227591,597.4735086802368
34,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,2,34,5,3,4,NAZ2,NAZ1,31.4239093652164,32.34424707491799,298.4466623426567,12.0,6.703480512823381,597.272831606641
35,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,2,35,6,3,4,NAZ2,NAZ1,31.42550096195806,32.3408028058443,298.4466623426567,12.0,6.9041575864191715,597.0721545330452
36,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,2,36,7,3,4,NAZ2,NAZ1,31.42709246657847,32.337358419852116,298.4466623426567,12.0,7.104834660014962,596.8714774594495
37,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,2,37,8,3,4,NAZ2,NAZ1,31.428683879068743,32.33391391693693,298.4466623426567,12.0,7.305511733610752,596.6708003858537
38,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,2,38,9,3,4,NAZ2,NAZ1,31.430275199420013,32.330469297094254,298.4466623426567,12.0,7.5061888072065415,596.4701233122579
39,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,2,39,10,3,4,NAZ2,NAZ1,31.431866427623387,32.32702456031959,298.4466623426567,12.0,7.706865880802332,596.2694462386621
40,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,2,40,11,3,4,NAZ2,NAZ1,31.433457563669982,32.32357970660844,298.4466623426567,12.0,7.907542954398123,596.0687691650663
41,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,2,41,12,3,4,NAZ2,NAZ1,31.435048607550947,32.3201347359563,298.4466623426567,12.0,8.108220027993912,595.8680920914705
42,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,2,42,13,3,4,NAZ2,NAZ1,31.436639559257358,32.3166896483587,298.4466623426567,12.0,8.308897101589704,595.6674150178748
43,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,2,43,14,3,4,NAZ2,NAZ1,31.43823041878036,32.31324444381112,298.4466623426567,12.0,8.509574175185493,595.4667379442789
44,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,2,44,15,3,4,NAZ2,NAZ1,31.439821186111075,32.30979912230909,298.4466623426567,12.0,8.710251248781283,595.2660608706831
45,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,2,45,16,3,4,NAZ2,NAZ1,31.441411861240606,32.306353683848116,298.4466623426567,12.0,8.910928322377075,595.0653837970873
46,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,2,46,17,3,4,NAZ2,NAZ1,31.44300244416009,32.30290812842371,298.4466623426567,12.0,9.111605395972864,594.8647067234915
47,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,2,47,18,3,4,NAZ2,NAZ1,31.444592934860623,32.29946245603139,298.4466623426567,12.0,9.312282469568654,594.6640296498957
48,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,3,48,0,4,5,NAZ1,SaidTssS,31.446183333333327,32.29601666666667,327.4740831344064,12.0,9.512959543164445,594.4633525762999
49,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,3,49,1,4,5,NAZ1,SaidTssS,31.448991963016923,32.293917168986894,327.4740831344064,12.0,9.712962833236523,594.2633492862279
50,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,3,50,2,4,5,NAZ1,SaidTssS,31.451800558456068,32.29181754542076,327.4740831344064,12.0,9.9129661233086,594.0633459961558
51,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,3,51,3,4,5,NAZ1,SaidTssS,31.45460911964494,32.2897177959484,327.4740831344064,12.0,10.112969413380677,593.8633427060837
52,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,3,52,4,4,5,NAZ1,SaidTssS,31.457417646577696,32.287617920549906,327.4740831344064,12.0,10.312972703452754,593.6633394160117
53,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,3,53,5,4,5,NAZ1,SaidTssS,31.460226139248526,32.28551791920541,327.4740831344064,12.0,10.51297599352483,593.4633361259396
54,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,3,54,6,4,5,NAZ1,SaidTssS,31.4630345976516,32.283417791895026,327.4740831344064,12.0,10.712979283596907,593.2633328358675
