sim_index,route_name,route_type,phase,leg_index,minute_from_start,leg_minute,from_wpt,to_wpt,from_name,to_name,lat_deg,lon_deg,cog_deg,sog_knots,distance_from_start_nm,distance_to_go_nm
55,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,3,55,7,4,5,NAZ1,SaidTssS,31.46584302178109,32.281317538598856,327.4740831344064,12.0,10.912982573668984,593.0633295457955
56,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,3,56,8,4,5,NAZ1,SaidTssS,31.468651411631157,32.279217159297026,327.4740831344064,12.0,11.112985863741061,592.8633262557233
57,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,3,57,9,4,5,NAZ1,SaidTssS,31.47145976719597,32.277116653969614,327.4740831344064,12.0,11.312989153813138,592.6633229656512
58,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,3,58,10,4,5,NAZ1,SaidTssS,31.474268088469714,32.275016022596745,327.4740831344064,12.0,11.512992443885215,592.4633196755792
59,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,3,59,11,4,5,NAZ1,SaidTssS,31.47707637544654,32.27291526515851,327.4740831344064,12.0,11.712995733957293,592.2633163855071
60,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,3,60,12,4,5,NAZ1,SaidTssS,31.479884628120615,32.270814381635,327.4740831344064,12.0,11.912999024029368,592.0633130954351
61,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,3,61,13,4,5,NAZ1,SaidTssS,31.48269284648611,32.26871337200632,327.4740831344064,12.0,12.113002314101447,591.863309805363
62,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,3,62,14,4,5,NAZ1,SaidTssS,31.485501030537197,32.266612236252556,327.4740831344064,12.0,12.313005604173522,591.6633065152909
63,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,3,63,15,4,5,NAZ1,SaidTssS,31.488309180268026,32.2645109743538,327.4740831344064,12.0,12.5130088942456,591.4633032252189
64,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,3,64,16,4,5,NAZ1,SaidTssS,31.491117295672755,32.26240958629013,327.4740831344064,12.0,12.713012184317677,591.2632999351467
65,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,3,65,17,4,5,NAZ1,SaidTssS,31.493925376745555,32.26030807204164,327.4740831344064,12.0,12.913015474389754,591.0632966450746
66,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,3,66,18,4,5,NAZ1,SaidTssS,31.496733423480595,32.2582064315884,327.4740831344064,12.0,13.113018764461831,590.8632933550026
67,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,3,67,19,4,5,NAZ1,SaidTssS,31.499541435872015,32.25610466491049,327.4740831344064,12.0,13.313022054533906,590.6632900649305
68,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,3,68,20,4,5,NAZ1,SaidTssS,31.502349413913997,32.25400277198799,327.4740831344064,12.0,13.513025344605985,590.4632867748584
69,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,3,69,21,4,5,NAZ1,SaidTssS,31.505157357600677,32.25190075280097,327.4740831344064,12.0,13.71302863467806,590.2632834847864
70,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,3,70,22,4,5,NAZ1,SaidTssS,31.50796526692622,32.2497986073295,327.4740831344064,12.0,13.913031924750138,590.0632801947143
71,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,3,71,23,4,5,NAZ1,SaidTssS,31.510773141884776,32.24769633555364,327.4740831344064,12.0,14.113035214822215,589.8632769046422
72,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,3,72,24,4,5,NAZ1,SaidTssS,31.51358098247052,32.24559393745347,327.4740831344064,12.0,14.313038504894292,589.6632736145701
73,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,3,73,25,4,5,NAZ1,SaidTssS,31.51638878867758,32.24349141300903,327.4740831344064,12.0,14.51304179496637,589.463270324498
74,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,3,74,26,4,5,NAZ1,SaidTssS,31.519196560500124,32.2413887622004,327.4740831344064,12.0,14.713045085038447,589.263267034426
75,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,3,75,27,4,5,NAZ1,SaidTssS,31.522004297932305,32.23928598500762,327.4740831344064,12.0,14.913048375110524,589.0632637443539
76,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,3,76,28,4,5,NAZ1,SaidTssS,31.52481200096826,32.23718308141074,327.4740831344064,12.0,15.1130516651826,588.8632604542818
77,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,3,77,29,4,5,NAZ1,SaidTssS,31.52761966960215,32.235080051389836,327.4740831344064,12.0,15.313054955254678,588.6632571642098
78,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,3,78,30,4,5,NAZ1,SaidTssS,31.530427303828123,32.232976894924924,327.4740831344064,12.0,15.513058245326754,588.4632538741376
79,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,3,79,31,4,5,NAZ1,SaidTssS,31.533234903640317,32.23087361199607,327.4740831344064,12.0,15.71306153539883,588.2632505840655
80,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,3,80,32,4,5,NAZ1,SaidTssS,31.536042469032896,32.2287702025833,327.4740831344064,12.0,15.913064825470908,588.0632472939935
81,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,4,81,0,5,6,SaidTssS,SaidTssN,31.53885,32.22666666666667,315.8780092046553,12.0,16.113068115542987,587.8632440039214
82,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,4,82,1,5,6,SaidTssS,SaidTssN,31.541241842638065,32.22394489745065,315.8780092046553,12.0,16.313119973545927,587.6631921459185
83,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,4,83,2,5,6,SaidTssS,SaidTssN,31.543633627629873,32.221222988752714,315.8780092046553,12.0,16.513171831548867,587.4631402879155
84,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,4,84,3,5,6,SaidTssS,SaidTssN,31.546025354967075,32.218500940556005,315.8780092046553,12.0,16.713223689551807,587.2630884299126
85,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,4,85,4,5,6,SaidTssS,SaidTssN,31.548417024641306,32.21577875284369,315.8780092046553,12.0,16.913275547554743,587.0630365719097
86,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,4,86,5,5,6,SaidTssS,SaidTssN,31.55080863664423,32.213056425598914,315.8780092046553,12.0,17.113327405557683,586.8629847139067
87,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,4,87,6,5,6,SaidTssS,SaidTssN,31.553200190967484,32.21033395880482,315.8780092046553,12.0,17.313379263560623,586.6629328559038
88,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,4,88,7,5,6,SaidTssS,SaidTssN,31.555591687602703,32.20761135244455,315.8780092046553,12.0,17.513431121563563,586.4628809979008
89,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,4,89,8,5,6,SaidTssS,SaidTssN,31.55798312654154,32.204888606501285,315.8780092046553,12.0,17.713482979566503,586.2628291398979
90,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,4,90,9,5,6,SaidTssS,SaidTssN,31.56037450777564,32.20216572095814,315.8780092046553,12.0,17.913534837569443,586.062777281895
91,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,4,91,10,5,6,SaidTssS,SaidTssN,31.562765831296634,32.19944269579827,315.8780092046553,12.0,18.11358669557238,585.862725423892
92,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,4,92,11,5,6,SaidTssS,SaidTssN,31.565157097096165,32.19671953100482,315.8780092046553,12.0,18.31363855357532,585.6626735658891
93,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,4,93,12,5,6,SaidTssS,SaidTssN,31.567548305165857,32.19399622656093,315.8780092046553,12.0,18.51369041157826,585.4626217078861
94,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,4,94,13,5,6,SaidTssS,SaidTssN,31.569939455497366,32.191272782449744,315.8780092046553,12.0,18.7137422695812,585.2625698498832
95,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,4,95,14,5,6,SaidTssS,SaidTssN,31.572330548082327,32.18854919865441,315.8780092046553,12.0,18.91379412758414,585.0625179918802
96,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,4,96,15,5,6,SaidTssS,SaidTssN,31.57472158291236,32.185825475158055,315.8780092046553,12.0,19.11384598558708,584.8624661338773
97,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,4,97,16,5,6,SaidTssS,SaidTssN,31.57711255997912,32.18310161194382,315.8780092046553,12.0,19.31389784359002,584.6624142758744
98,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,4,98,17,5,6,SaidTssS,SaidTssN,31.57950347927422,32.18037760899485,315.8780092046553,12.0,19.513949701592956,584.4623624178714
99,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,4,99,18,5,6,SaidTssS,SaidTssN,31.581894340789308,32.17765346629429,315.8780092046553,12.0,19.714001559595896,584.2623105598685
100,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,4,100,19,5,6,SaidTssS,SaidTssN,31.584285144516,32.17492918382525,315.8780092046553,12.0,19.914053417598836,584.0622587018656
101,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,4,101,20,5,6,SaidTssS,SaidTssN,31.586675890445935,32.17220476157088,315.8780092046553,12.0,20.114105275601776,583.8622068438626
102,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,4,102,21,5,6,SaidTssS,SaidTssN,31.589066578570737,32.16948019951432,315.8780092046553,12.0,20.314157133604716,583.6621549858597
103,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,4,103,22,5,6,SaidTssS,SaidTssN,31.591457208882037,32.16675549763868,315.8780092046553,12.0,20.514208991607653,583.4621031278567
104,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,4,104,23,5,6,SaidTssS,SaidTssN,31.593847781371462,32.16403065592713,315.8780092046553,12.0,20.714260849610596,583.2620512698538
105,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,4,105,24,5,6,SaidTssS,SaidTssN,31.596238296030638,32.16130567436275,315.8780092046553,12.0,20.914312707613533,583.0619994118508
106,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,4,106,25,5,6,SaidTssS,SaidTssN,31.59862875285118,32.158580552928704,315.8780092046553,12.0,21.114364565616473,582.8619475538479
107,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,4,107,26,5,6,SaidTssS,SaidTssN,31.601019151824723,32.15585529160811,315.8780092046553,12.0,21.314416423619413,582.661895695845
108,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,4,108,27,5,6,SaidTssS,SaidTssN,31.603409492942898,32.1531298903841,315.8780092046553,12.0,21.514468281622353,582.461843837842
109,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,4,109,28,5,6,SaidTssS,SaidTssN,31.605799776197294,32.150404349239786,315.8780092046553,12.0,21.714520139625293,582.2617919798391
110,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,4,110,29,5,6,SaidTssS,SaidTssN,31.608190001579565,32.1476786681583,315.8780092046553,12.0,21.91457199762823,582.0617401218362
111,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,4,111,30,5,6,SaidTssS,SaidTssN,31.610580169081306,32.14495284712278,315.8780092046553,12.0,22.11462385563117,581.8616882638332
112,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,4,112,31,5,6,SaidTssS,SaidTssN,31.61297027869414,32.14222688611632,315.8780092046553,12.0,22.31467571363411,581.6616364058303
113,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,4,113,32,5,6,SaidTssS,SaidTssN,31.6153603304097,32.13950078512206,315.8780092046553,12.0,22.51472757163705,581.4615845478273
114,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,4,114,33,5,6,SaidTssS,SaidTssN,31.61775032421959,32.13677454412312,315.8780092046553,12.0,22.71477942963999,581.2615326898244
115,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,4,115,34,5,6,SaidTssS,SaidTssN,31.620140260115424,32.13404816310262,315.8780092046553,12.0,22.91483128764293,581.0614808318214
116,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,4,116,35,5,6,SaidTssS,SaidTssN,31.62253013808881,32.131321642043666,315.8780092046553,12.0,23.11488314564587,580.8614289738185
117,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,4,117,36,5,6,SaidTssS,SaidTssN,31.624919958131375,32.12859498092939,315.8780092046553,12.0,23.314935003648806,580.6613771158156
118,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,4,118,37,5,6,SaidTssS,SaidTssN,31.627309720234724,32.125868179742895,315.8780092046553,12.0,23.514986861651746,580.4613252578126
119,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,4,119,38,5,6,SaidTssS,SaidTssN,31.62969942439046,32.123141238467305,315.8780092046553,12.0,23.715038719654686,580.2612733998097
120,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,4,120,39,5,6,SaidTssS,SaidTssN,31.632089070590204,32.120414157085726,315.8780092046553,12.0,23.915090577657626,580.0612215418067
121,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,4,121,40,5,6,SaidTssS,SaidTssN,31.63447865882556,32.117686935581276,315.8780092046553,12.0,24.115142435660566,579.8611696838038
122,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,4,122,41,5,6,SaidTssS,SaidTssN,31.63686818908814,32.11495957393707,315.8780092046553,12.0,24.315194293663502,579.6611178258009
123,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,4,123,42,5,6,SaidTssS,SaidTssN,31.639257661369538,32.1122320721362,315.8780092046553,12.0,24.515246151666446,579.4610659677979
124,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,4,124,43,5,6,SaidTssS,SaidTssN,31.64164707566138,32.109504430161806,315.8780092046553,12.0,24.715298009669382,579.261014109795
125,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,4,125,44,5,6,SaidTssS,SaidTssN,31.64403643195525,32.106776647996966,315.8780092046553,12.0,24.915349867672322,579.060962251792
126,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,4,126,45,5,6,SaidTssS,SaidTssN,31.646425730242754,32.104048725624814,315.8780092046553,12.0,25.115401725675262,578.8609103937891
127,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,4,127,46,5,6,SaidTssS,SaidTssN,31.648814970515502,32.10132066302843,315.8780092046553,12.0,25.315453583678202,578.6608585357862
128,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,4,128,47,5,6,SaidTssS,SaidTssN,31.651204152765093,32.098592460190936,315.8780092046553,12.0,25.515505441681142,578.4608066777832
129,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,4,129,48,5,6,SaidTssS,SaidTssN,31.653593276983127,32.09586411709544,315.8780092046553,12.0,25.71555729968408,578.2607548197803
130,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,4,130,49,5,6,SaidTssS,SaidTssN,31.655982343161202,32.09313563372502,315.8780092046553,12.0,25.915609157687022,578.0607029617773
131,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,4,131,50,5,6,SaidTssS,SaidTssN,31.658371351290914,32.0904070100628,315.8780092046553,12.0,26.11566101568996,577.8606511037744
132,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,4,132,51,5,6,SaidTssS,SaidTssN,31.66076030136385,32.087678246091876,315.8780092046553,12.0,26.3157128736929,577.6605992457716
133,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,4,133,52,5,6,SaidTssS,SaidTssN,31.663149193371634,32.08494934179534,315.8780092046553,12.0,26.51576473169584,577.4605473877685
134,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,4,134,53,5,6,SaidTssS,SaidTssN,31.665538027305843,32.0822202971563,315.8780092046553,12.0,26.715816589698775,577.2604955297656
135,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,4,135,54,5,6,SaidTssS,SaidTssN,31.667926803158064,32.07949111215785,315.8780092046553,12.0,26.91586844770172,577.0604436717626
136,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,4,136,55,5,6,SaidTssS,SaidTssN,31.670315520919896,32.07676178678309,315.8780092046553,12.0,27.115920305704655,576.8603918137597
137,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,4,137,56,5,6,SaidTssS,SaidTssN,31.67270418058294,32.074032321015096,315.8780092046553,12.0,27.315972163707595,576.6603399557569
138,Suez OUT - Piraeus,SEA,PILOT_TO_PILOT,4,138,57,5,6,SaidTssS,SaidTssN,31.675092782138773,32.07130271483698,315.8780092046553,12.0,27.516024021710535,576.4602880977538
